id,date,timestamp,latitude,longitude,depth,size,location,attribute
61,2023.02.06 23:58:14,1675727894,37.9933,36.1778,3.1,"{'md': 0.0, 'ml': 3.9, 'mw': 0.0}",YENIKOY-SAIMBEYLI (ADANA),İlksel
64,2023.02.06 23:44:14,1675727054,37.4157,35.4068,5.0,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",YUKSEKOREN-ALADAG (ADANA),İlksel
135,2023.02.06 19:59:26,1675713566,38.1065,36.3048,1.5,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",KIRAZLIYURT-TUFANBEYLI (ADANA),İlksel
147,2023.02.06 19:21:46,1675711306,38.1437,36.304,3.8,"{'md': 0.0, 'ml': 3.9, 'mw': 0.0}",CUKURKISLA-TUFANBEYLI (ADANA),İlksel
166,2023.02.06 17:53:57,1675706037,37.1293,35.8458,16.3,"{'md': 0.0, 'ml': 3.0, 'mw': 0.0}",ADAPINAR-CEYHAN (ADANA),İlksel
168,2023.02.06 17:46:17,1675705577,36.6717,35.198,8.5,"{'md': 0.0, 'ml': 2.9, 'mw': 0.0}",KAPI-KARATAS (ADANA),İlksel
416,2023.02.05 21:21:32,1675632092,37.1773,35.2148,20.0,"{'md': 0.0, 'ml': 1.1, 'mw': 0.0}",KIRIKLI-KARAISALI (ADANA),İlksel
417,2023.02.05 21:16:34,1675631794,37.3748,35.8753,20.7,"{'md': 0.0, 'ml': 1.3, 'mw': 0.0}",KUYULUK-KOZAN (ADANA),İlksel
