id,date,timestamp,latitude,longitude,depth,size,location,attribute
53,2023.02.07 00:23:32,1675729412,38.2335,37.1547,10.7,"{'md': 0.0, 'ml': 3.0, 'mw': 0.0}",HASANKENDI-ELBISTAN (KAHRAMANMARAS),İlksel
56,2023.02.07 00:15:16,1675728916,38.0708,37.0447,5.0,"{'md': 0.0, 'ml': 5.1, 'mw': 4.9}",SOYSALLI-EKINOZU (KAHRAMANMARAS),İlksel
57,2023.02.07 00:12:57,1675728777,37.399,37.1047,1.3,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",MAKSUTUSAGI-PAZARCIK (KAHRAMANMARAS),İlksel
58,2023.02.07 00:06:31,1675728391,37.4008,37.1177,3.3,"{'md': 0.0, 'ml': 3.2, 'mw': 0.0}",NARLI-PAZARCIK (KAHRAMANMARAS),İlksel
59,2023.02.07 00:05:12,1675728312,38.1312,36.6692,4.2,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",KARAOMER-GOKSUN (KAHRAMANMARAS),İlksel
62,2023.02.06 23:55:47,1675727747,37.9792,36.4438,5.4,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",TASOLUK-GOKSUN (KAHRAMANMARAS),İlksel
65,2023.02.06 23:43:59,1675727039,37.9827,36.4945,1.8,"{'md': 0.0, 'ml': 5.0, 'mw': 0.0}",KIRECKOY-GOKSUN (KAHRAMANMARAS),İlksel
66,2023.02.06 23:37:51,1675726671,37.303,37.0628,6.3,"{'md': 0.0, 'ml': 5.4, 'mw': 5.3}",EMIROGLU-PAZARCIK (KAHRAMANMARAS),İlksel
68,2023.02.06 23:33:14,1675726394,38.0772,37.4788,15.7,"{'md': 0.0, 'ml': 2.8, 'mw': 0.0}",SUNNETKOY-ELBISTAN (KAHRAMANMARAS),İlksel
72,2023.02.06 23:21:53,1675725713,38.0583,36.4342,5.0,"{'md': 0.0, 'ml': 3.2, 'mw': 0.0}",CAGLAYAN-GOKSUN (KAHRAMANMARAS),İlksel
73,2023.02.06 23:20:53,1675725653,38.0758,37.5427,12.4,"{'md': 0.0, 'ml': 3.1, 'mw': 0.0}",TATLAR-NURHAK (KAHRAMANMARAS),İlksel
74,2023.02.06 23:18:53,1675725533,38.1412,36.9555,4.3,"{'md': 0.0, 'ml': 3.4, 'mw': 3.0}",SOGUCAK-AFSIN (KAHRAMANMARAS),İlksel
75,2023.02.06 23:14:10,1675725250,38.0333,36.4058,5.0,"{'md': 0.0, 'ml': 4.4, 'mw': 0.0}",SOGUKPINAR-GOKSUN (KAHRAMANMARAS),İlksel
79,2023.02.06 23:05:35,1675724735,38.007,36.2647,5.0,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",KAZANDERE-GOKSUN (KAHRAMANMARAS),İlksel
80,2023.02.06 23:05:23,1675724723,38.1372,37.683,5.9,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",ARMUTALAN-ELBISTAN (KAHRAMANMARAS),İlksel
81,2023.02.06 23:02:25,1675724545,37.8733,36.5292,5.0,"{'md': 0.0, 'ml': 3.5, 'mw': 0.0}",KUMARLI-(KAHRAMANMARAS),İlksel
82,2023.02.06 22:57:59,1675724279,37.868,36.5258,5.0,"{'md': 0.0, 'ml': 3.6, 'mw': 3.6}",KUMARLI-(KAHRAMANMARAS),İlksel
84,2023.02.06 22:49:39,1675723779,38.0955,36.5518,5.0,"{'md': 0.0, 'ml': 4.4, 'mw': 0.0}",CAMDERE-GOKSUN (KAHRAMANMARAS),İlksel
85,2023.02.06 22:47:57,1675723677,37.9783,36.5487,2.9,"{'md': 0.0, 'ml': 3.7, 'mw': 0.0}",ASLANBEYCIFTLIGI-GOKSUN (KAHRAMANMARAS),İlksel
90,2023.02.06 22:35:50,1675722950,37.4702,37.1305,5.0,"{'md': 0.0, 'ml': 4.4, 'mw': 0.0}",SEYRANTEPE-PAZARCIK (KAHRAMANMARAS),İlksel
91,2023.02.06 22:30:59,1675722659,38.1195,37.2272,5.0,"{'md': 0.0, 'ml': 4.3, 'mw': 0.0}",AKPINAR-EKINOZU (KAHRAMANMARAS),İlksel
92,2023.02.06 22:25:00,1675722300,37.9623,36.7942,5.0,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",CAMLICA-(KAHRAMANMARAS),İlksel
93,2023.02.06 22:21:14,1675722074,38.0675,37.305,7.0,"{'md': 0.0, 'ml': 2.7, 'mw': 0.0}",AGCASAR-NURHAK (KAHRAMANMARAS),İlksel
94,2023.02.06 22:18:58,1675721938,38.0765,37.3265,4.9,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",AGCASAR-NURHAK (KAHRAMANMARAS),İlksel
95,2023.02.06 22:12:31,1675721551,38.0495,37.4475,5.0,"{'md': 0.0, 'ml': 4.1, 'mw': 0.0}",AGCASAR-NURHAK (KAHRAMANMARAS),İlksel
96,2023.02.06 22:10:30,1675721430,38.0518,36.432,1.0,"{'md': 0.0, 'ml': 3.1, 'mw': 0.0}",CAGLAYAN-GOKSUN (KAHRAMANMARAS),İlksel
102,2023.02.06 21:45:30,1675719930,38.1248,36.838,8.8,"{'md': 0.0, 'ml': 3.2, 'mw': 0.0}",KAMISCIK-GOKSUN (KAHRAMANMARAS),İlksel
103,2023.02.06 21:41:38,1675719698,38.0917,36.7588,5.0,"{'md': 0.0, 'ml': 3.1, 'mw': 3.3}",KORKMAZ-GOKSUN (KAHRAMANMARAS),İlksel
105,2023.02.06 21:31:24,1675719084,37.8858,36.6412,5.6,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",TEKIR-(KAHRAMANMARAS),İlksel
107,2023.02.06 21:26:45,1675718805,38.0422,37.2627,5.0,"{'md': 0.0, 'ml': 3.5, 'mw': 3.3}",GOZPINAR-EKINOZU (KAHRAMANMARAS),İlksel
111,2023.02.06 21:15:28,1675718128,38.1502,37.7123,4.9,"{'md': 0.0, 'ml': 3.8, 'mw': 3.8}",ARMUTALAN-ELBISTAN (KAHRAMANMARAS),İlksel
113,2023.02.06 21:03:53,1675717433,38.0815,36.4372,5.0,"{'md': 0.0, 'ml': 5.3, 'mw': 0.0}",MEHMETBEY-GOKSUN (KAHRAMANMARAS),İlksel
114,2023.02.06 21:02:44,1675717364,38.1753,36.6147,7.9,"{'md': 0.0, 'ml': 4.6, 'mw': 0.0}",YENIYAPAN-GOKSUN (KAHRAMANMARAS),İlksel
116,2023.02.06 20:54:33,1675716873,37.4285,36.9872,5.4,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",SIVRICEHUYUK-(KAHRAMANMARAS),İlksel
119,2023.02.06 20:44:29,1675716269,38.1615,36.9075,5.6,"{'md': 0.0, 'ml': 3.9, 'mw': 0.0}",ESENCE-AFSIN (KAHRAMANMARAS),İlksel
120,2023.02.06 20:37:24,1675715844,38.1583,36.9127,16.9,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",SOGUCAK-AFSIN (KAHRAMANMARAS),İlksel
121,2023.02.06 20:33:03,1675715583,37.5012,37.1313,4.5,"{'md': 0.0, 'ml': 3.5, 'mw': 0.0}",KARTAL-(KAHRAMANMARAS),İlksel
123,2023.02.06 20:29:39,1675715379,38.1967,37.726,14.3,"{'md': 0.0, 'ml': 3.5, 'mw': 0.0}",ATMALIKASANLI-ELBISTAN (KAHRAMANMARAS),İlksel
124,2023.02.06 20:26:24,1675715184,38.1305,36.6537,5.1,"{'md': 0.0, 'ml': 4.5, 'mw': 0.0}",YENIYAPAN-GOKSUN (KAHRAMANMARAS),İlksel
125,2023.02.06 20:22:02,1675714922,38.1047,36.4972,4.4,"{'md': 0.0, 'ml': 3.9, 'mw': 0.0}",MAHMUTBEY-GOKSUN (KAHRAMANMARAS),İlksel
129,2023.02.06 20:16:16,1675714576,38.058,36.4968,8.2,"{'md': 0.0, 'ml': 3.5, 'mw': 0.0}",ORTATEPE-GOKSUN (KAHRAMANMARAS),İlksel
130,2023.02.06 20:15:41,1675714541,37.9863,36.8058,6.3,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",KINIKKOZ-GOKSUN (KAHRAMANMARAS),İlksel
131,2023.02.06 20:11:47,1675714307,38.1157,37.3847,5.0,"{'md': 0.0, 'ml': 4.3, 'mw': 0.0}",BAKIS-ELBISTAN (KAHRAMANMARAS),REVIZE01
134,2023.02.06 20:01:17,1675713677,38.2045,36.933,7.3,"{'md': 0.0, 'ml': 3.3, 'mw': 0.0}",HUYUKLU-AFSIN (KAHRAMANMARAS),İlksel
136,2023.02.06 19:55:34,1675713334,37.9853,37.3265,5.4,"{'md': 0.0, 'ml': 4.4, 'mw': 0.0}",BARIS-NURHAK (KAHRAMANMARAS),İlksel
137,2023.02.06 19:53:43,1675713223,38.139,36.7907,15.6,"{'md': 0.0, 'ml': 4.0, 'mw': 0.0}",DEVEBOYNU-AFSIN (KAHRAMANMARAS),REVIZE01
138,2023.02.06 19:51:58,1675713118,38.1705,37.6553,5.0,"{'md': 0.0, 'ml': 3.4, 'mw': 3.3}",HASANALILI-ELBISTAN (KAHRAMANMARAS),İlksel
140,2023.02.06 19:46:37,1675712797,38.0573,36.388,5.0,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",SOGUKPINAR-GOKSUN (KAHRAMANMARAS),İlksel
141,2023.02.06 19:43:27,1675712607,38.0077,36.4658,5.0,"{'md': 0.0, 'ml': 5.2, 'mw': 0.0}",YIRICEK-GOKSUN (KAHRAMANMARAS),İlksel
143,2023.02.06 19:32:12,1675711932,37.9282,36.8213,17.4,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",SULEYMANLI-(KAHRAMANMARAS),İlksel
144,2023.02.06 19:28:08,1675711688,37.3727,36.9295,7.0,"{'md': 0.0, 'ml': 4.3, 'mw': 0.0}",COBANTEPE-TURKOGLU (KAHRAMANMARAS),İlksel
