id,date,timestamp,latitude,longitude,depth,size,location,attribute
35,2023.02.07 16:08:47,1675786127,38.068,36.6023,5.0,"{'md': 0.0, 'ml': 3.4, 'mw': 3.3}",HACIOMER-GOKSUN (KAHRAMANMARAS),İlksel
36,2023.02.07 16:08:11,1675786091,39.3968,39.718,8.4,"{'md': 0.0, 'ml': 2.4, 'mw': 0.0}",KOCATEPE-PULUMUR (TUNCELI),İlksel
37,2023.02.07 16:06:39,1675785999,36.6417,35.3205,5.0,"{'md': 0.0, 'ml': 2.4, 'mw': 0.0}",TOPRAKLI-KARATAS (ADANA),İlksel
38,2023.02.07 16:03:59,1675785839,38.1052,38.0212,5.0,"{'md': 0.0, 'ml': 3.1, 'mw': 0.0}",ESKIKOY-DOGANSEHIR (MALATYA),İlksel
39,2023.02.07 16:01:40,1675785700,37.8818,36.6402,5.4,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",TEKIR-(KAHRAMANMARAS),İlksel
40,2023.02.07 15:53:14,1675785194,38.2773,37.9608,5.0,"{'md': 0.0, 'ml': 3.4, 'mw': 3.6}",IKINCILER-AKCADAG (MALATYA),İlksel
41,2023.02.07 15:51:24,1675785084,36.656,36.401,7.9,"{'md': 0.0, 'ml': 2.9, 'mw': 0.0}",BEKTASLI-KIRIKHAN (HATAY),İlksel
42,2023.02.07 15:43:41,1675784621,38.2313,37.973,5.0,"{'md': 0.0, 'ml': 3.7, 'mw': 0.0}",DEDEKOY-AKCADAG (MALATYA),İlksel
43,2023.02.07 15:41:33,1675784493,38.1558,37.8693,5.3,"{'md': 0.0, 'ml': 3.9, 'mw': 4.0}",POLAT-DOGANSEHIR (MALATYA),İlksel
44,2023.02.07 15:40:12,1675784412,37.9525,37.2107,8.1,"{'md': 0.0, 'ml': 2.4, 'mw': 0.0}",CIFTLIKKOY-EKINOZU (KAHRAMANMARAS),İlksel
45,2023.02.07 15:35:48,1675784148,37.4087,37.1358,5.4,"{'md': 0.0, 'ml': 3.4, 'mw': 3.4}",DOGANLI-PAZARCIK (KAHRAMANMARAS),İlksel
46,2023.02.07 15:28:27,1675783707,38.2493,27.174,16.1,"{'md': 0.0, 'ml': 1.5, 'mw': 0.0}",KISIK-MENDERES (IZMIR),İlksel
47,2023.02.07 15:27:13,1675783633,38.0888,36.5532,5.0,"{'md': 0.0, 'ml': 3.5, 'mw': 3.2}",ALICLIBUCAK-GOKSUN (KAHRAMANMARAS),İlksel
48,2023.02.07 15:26:20,1675783580,39.4835,26.2858,5.0,"{'md': 0.0, 'ml': 1.7, 'mw': 0.0}",KURUOBA-AYVACIK (CANAKKALE),İlksel
49,2023.02.07 15:24:35,1675783475,37.1727,36.8665,17.9,"{'md': 0.0, 'ml': 3.4, 'mw': 3.1}",ICERISU-NURDAGI (GAZIANTEP),İlksel
50,2023.02.07 15:20:53,1675783253,38.2022,42.68,5.0,"{'md': 0.0, 'ml': 2.6, 'mw': 0.0}",YUKARICALI-HIZAN (BITLIS),İlksel
